Ano,Cultivo de culturas não perenes,Extração de petróleo bruto,Mineração de minérios de ferro,Processamento e conservação de carne,Fabricação de outros produtos alimentícios,Fabricação básica de ferro e aço,Fabricação de óleos e gorduras vegetais e animais,Fabricação de produtos petrolíferos refinados,Fabricação de papel e produtos de papel,Fabricação de veículos automotores
2012.0,26.0,20.0,31.0,16.0,15.0,11.0,9.0,6.0,7.0,8.0
2013.0,31.0,13.0,32.0,17.0,14.0,9.0,9.0,5.0,7.0,10.0
2014.0,29.0,16.0,26.0,18.0,11.0,10.0,9.0,4.0,7.0,7.0
2015.0,28.0,12.0,14.0,15.0,10.0,9.0,7.0,2.0,8.0,7.0
2016.0,25.0,10.0,13.0,14.0,12.0,8.0,6.0,1.0,7.0,9.0
2017.0,33.0,17.0,19.0,16.0,13.0,11.0,6.0,2.0,8.0,12.0
2018.0,40.0,25.0,20.0,15.0,8.0,13.0,8.0,4.0,10.0,10.0
2019.0,37.0,24.0,23.0,17.0,7.0,11.0,7.0,6.0,10.0,7.0
2020.0,39.0,20.0,26.0,18.0,11.0,9.0,7.0,5.0,8.0,6.0
2021.0,48.0,31.0,45.0,20.0,11.0,14.0,10.0,8.0,9.0,7.0
2022.0,65.0,43.0,29.0,26.0,14.0,17.0,15.0,14.0,11.0,9.0
2023.0,63.0,34.0,24.0,20.0,14.0,13.0,13.0,10.0,9.0,8.0
